ds,yhat,yhat_lower,yhat_upper
2014-03-31,22653.97459280728,22653.9745057474,22653.974681376974
2014-06-30,28062.132704330994,28062.132611973175,28062.13279146104
2014-09-30,41959.720255052365,41959.720171179986,41959.720345345355
2014-12-31,64516.26712024341,64516.267031654534,64516.2672118319
2015-03-31,27371.9654020042,27371.965307017806,27371.965487971844
2015-06-30,27563.096240876766,27563.096147190096,27563.096327560197
2015-09-30,49587.839746168895,49587.839660731435,49587.839837534506
2015-12-31,65994.55419587981,65994.55410604956,65994.5542829255
2016-03-31,24347.136803409136,24347.13671021002,24347.136891241607
2016-06-30,41401.083237138264,41401.08315034288,41401.08332291391
2016-09-30,52816.49910151534,52816.49900649853,52816.49918710168
2016-12-31,80335.86825541225,80335.86817091113,80335.86834291686
2017-03-31,34295.285068778765,34246.86053713329,34339.90098633063
2017-06-30,45734.46223379461,45573.8696711574,45876.31390014031
2017-09-30,56690.048167413566,56372.00319020388,56972.35235039131
2017-12-31,83547.71826430394,83050.48250736699,84006.17867263245
